iter	RMSE
0	0.4266666797
1	0.4223958644
2	0.4184871287
3	0.4150442132
4	0.4113303283
5	0.4081681879
6	0.4053983019
7	0.4026253272
8	0.4001339555
9	0.3975646321
10	0.3957159758
11	0.3937706729
12	0.3917923787
13	0.3897875032
14	0.3880930539
15	0.3865440317
16	0.3852419411
17	0.3840450108
18	0.3830221296
19	0.3818940844
20	0.3809274986
21	0.3798817297
22	0.3791351003
23	0.3784621079
24	0.3776660853
25	0.3767793665
26	0.3759774106
27	0.3751209669
28	0.3745682388
29	0.3739142677
30	0.3733478025
31	0.3727607212
32	0.3719648347
33	0.3714348166
34	0.37083826
35	0.3704953344
36	0.3699908012
37	0.3698561039
38	0.3694518085
39	0.3690967789
40	0.3686992822
41	0.3682679913
42	0.3679158442
43	0.3677083096
44	0.3672032744
45	0.3669264856
46	0.3666480437
47	0.366366597
48	0.3659795484
49	0.3656883915
50	0.3652476633
51	0.3649092512
52	0.3646707879
53	0.3643751658
54	0.3641106498
55	0.3638719187
56	0.3638243442
57	0.36359336
58	0.3633890767
59	0.3631671997
60	0.362874949
61	0.362634444
62	0.3625144717
63	0.3622753803
64	0.3619771229
65	0.3617910391
66	0.3615436116
67	0.3613896278
68	0.3611873198
69	0.361026048
70	0.3608344345
71	0.3606667141
72	0.360450348
73	0.3602696664
74	0.3600650244
75	0.3598609177
76	0.3595744297
77	0.3593229855
78	0.3591781191
79	0.359064084
80	0.3587913601
81	0.3586167964
82	0.3584062319
83	0.3581255621
84	0.3579601483
85	0.3577216627
86	0.3575475671
87	0.3573565863
88	0.3572139362
89	0.3570744211
90	0.3569284273
91	0.3566875726
92	0.3564823646
93	0.3562920424
94	0.3561712275
95	0.3560151863
96	0.3557526337
97	0.3555140833
98	0.3552809081
99	0.3550917475
