iter	Passed	Remaining
0	6	672
1	12	605
2	17	564
3	24	576
4	29	556
5	34	540
6	40	540
7	45	528
8	52	526
9	57	517
10	60	488
11	65	480
12	71	480
13	77	476
14	83	474
15	89	472
16	96	470
17	102	468
18	108	461
19	114	457
20	120	451
21	125	446
22	132	442
23	137	436
24	144	432
25	150	427
26	155	421
27	161	415
28	167	411
29	173	405
30	179	400
31	185	395
32	191	389
33	197	383
34	203	377
35	209	372
36	215	367
37	218	356
38	224	350
39	230	345
40	235	339
41	240	332
42	246	326
43	251	319
44	256	313
45	261	307
46	267	301
47	273	296
48	278	289
49	283	283
50	288	277
51	293	271
52	298	264
53	303	258
54	308	252
55	313	246
56	316	238
57	321	232
58	326	226
59	331	220
60	336	215
61	341	209
62	346	203
63	351	197
64	356	191
65	361	186
66	366	180
67	371	174
68	376	169
69	381	163
70	386	157
71	391	152
72	396	146
73	401	141
74	406	135
75	412	130
76	418	124
77	424	119
78	429	114
79	434	108
80	439	103
81	444	97
82	449	92
83	454	86
84	459	81
85	464	75
86	469	70
87	474	64
88	479	59
89	484	53
90	489	48
91	494	42
92	499	37
93	504	32
94	509	26
95	514	21
96	518	16
97	524	10
98	528	5
99	533	0
